Index,Model,Price,specs,gen,Core_Thread,RAM,Storage,Graphics,display,os,Warranty
878,Gigabyte G5 RC45KD Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),"₹87,800",72,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
879,Gigabyte G5 RC45GD Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹68,990",71,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
880,Gigabyte G5 RC45MD Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),"₹76,600",71,11th Gen Intel Core i5 11400H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
881,Lenovo Thinkpad E14 20TAS13R00 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),"₹89,149",62,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD,"14.1 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
882,Dell Latitude 3520 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Ubuntu),"₹38,850",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB  RAM,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1366 x 768 pixels",Ubuntu OS,1 Year Warranty
883,Lenovo ThinkPad E14 20RAS0SD00 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win10 Home),"₹49,500",,10th Gen Intel Core i3 10110U,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 10 OS,1 Year Warranty
884,Dell Vostro 3510 2022 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),"₹46,300",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
885,Honor MagicBook X15 BohrBR-WAH9F Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),"₹67,318",,10th Gen Intel Core i5 10210U,"Quad Core, 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,Backlit Keyboard
886,Dell Vostro 3510 2022 Laptop (11th Gen Core i3/ 16GB/ 1TB 512GB SSD/ Win11 Home),"₹53,100",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,1 TB Hard Disk,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS
887,Dell Latitude 3420 FHD Laptop (11th Gen Core i5/ 8GB/ 1TB SSD/ Win11 Pro),"₹99,800",66,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,1 TB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
888,Lenovo ThinkBook 14 20VDA0QTIH Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ DOS),"₹60,100",,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
889,Lenovo ThinkPad E15 20TDS0T900 Laptop (11th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),"₹44,990",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
890,Fujitsu UH-X 4ZR1J37875 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),"₹89,990",68,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
891,Fujitsu UH-X 4ZR1J37876 Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11),"₹99,990",69,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Iris Xe Graphics,"13.3 inches, 1920 x 1080 pixels",Windows 11 OS,2 Year Warranty
892,Dell Vostro 3510 2022 Laptop (11th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),"₹49,800",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11  OS,1 Year Warranty
893,Acer TravelMate TMB311-31 Laptop (Intel Pentium N5030/ 4GB/ 128GB SSD/ Win11 Home),"₹24,990",,Intel Celeron  N5030,"Quad Core, 4 Threads",4 GB DDR4 RAM,128 GB SSD,UHD Graphics 600,"11.6 inches, 1366 x 768 pixels",Windows 11 OS,1 Year Warranty
894,Dell Latitude 3420 2022 Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Pro),"₹83,999",67,11th Gen Intel Core i5 1135G7,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
895,Dell Latitude 3420 Laptop (11th Gen Core i3/ 16GB/ 512GB SSD/ Ubuntu),"₹69,620",,11th Gen Intel Core i3 1115G4,"Dual Core, 4 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"14 inches, 1366 x 768 pixels",Ubuntu OS,1 Year Warranty
